;Grupos;Nota;Quantidade de Alunos;Tipo de Avaliação
0;Grupo 0;0.0;1;Chamada Regular
1;Grupo 0;1.0;2;Chamada Regular
2;Grupo 0;2.0;2;Chamada Regular
3;Grupo 0;3.0;15;Chamada Regular
4;Grupo 0;4.0;17;Chamada Regular
5;Grupo 0;5.0;5;Chamada Regular
6;Grupo 1;0.0;1;Chamada Regular
7;Grupo 1;1.0;1;Chamada Regular
8;Grupo 1;2.0;5;Chamada Regular
9;Grupo 1;3.0;12;Chamada Regular
10;Grupo 1;4.0;24;Chamada Regular
11;Grupo 1;5.0;10;Chamada Regular
12;Grupo 0;0.0;27;Avaliacao Final
13;Grupo 0;3.0;2;Avaliacao Final
14;Grupo 0;4.0;1;Avaliacao Final
15;Grupo 0;5.0;1;Avaliacao Final
16;Grupo 0;6.0;1;Avaliacao Final
17;Grupo 0;8.0;3;Avaliacao Final
18;Grupo 0;9.0;3;Avaliacao Final
19;Grupo 0;10.0;4;Avaliacao Final
20;Grupo 1;0.0;40;Avaliacao Final
21;Grupo 1;6.0;1;Avaliacao Final
22;Grupo 1;7.0;1;Avaliacao Final
23;Grupo 1;8.0;3;Avaliacao Final
24;Grupo 1;10.0;8;Avaliacao Final
25;Grupo 0;0.0;36;Segunda Chamada
26;Grupo 0;1.0;2;Segunda Chamada
27;Grupo 0;2.0;1;Segunda Chamada
28;Grupo 0;4.0;2;Segunda Chamada
29;Grupo 0;5.0;1;Segunda Chamada
30;Grupo 1;0.0;44;Segunda Chamada
31;Grupo 1;1.0;2;Segunda Chamada
32;Grupo 1;2.0;3;Segunda Chamada
33;Grupo 1;3.0;4;Segunda Chamada
