;Grupos;Dias da Semana;Quantidade
0;Grupo 0;1-7 Agosto;0.0
1;Grupo 1;1-7 Agosto;0.0
2;Grupo 0;8-15 Agosto;0.0
3;Grupo 1;8-15 Agosto;0.0
4;Grupo 0;16-24 Agosto;0.0
5;Grupo 1;16-24 Agosto;0.0
6;Grupo 0;25-31 Agosto;0.0
7;Grupo 1;25-31 Agosto;0.0
8;Grupo 0;1-7 Setembro;5.0
9;Grupo 1;1-7 Setembro;3.0
10;Grupo 0;8-15 Setembro;6.0
11;Grupo 1;8-15 Setembro;15.0
12;Grupo 0;16-24 Setembro;10.0
13;Grupo 1;16-24 Setembro;10.0
14;Grupo 0;25-30 Setembro;19.0
15;Grupo 1;25-30 Setembro;24.0
16;Grupo 0;1-7 Outubro;2.0
17;Grupo 1;1-7 Outubro;2.0
18;Grupo 0;8-15 Outubro;4.0
19;Grupo 1;8-15 Outubro;7.0
20;Grupo 0;16-24 Outubro;12.0
21;Grupo 1;16-24 Outubro;21.0
22;Grupo 0;25-31 Outubro;18.0
23;Grupo 1;25-31 Outubro;28.0
24;Grupo 0;1-7 Novembro;9.0
25;Grupo 1;1-7 Novembro;4.0
26;Grupo 0;8-15 Novembro;2.0
27;Grupo 1;8-15 Novembro;8.0
28;Grupo 0;16-24 Novembro;24.0
29;Grupo 1;16-24 Novembro;30.0
30;Grupo 0;25-30 Novembro;3.0
31;Grupo 1;25-30 Novembro;2.0
32;Grupo 0;1-7 Dezembro;6.0
33;Grupo 1;1-7 Dezembro;6.0
34;Grupo 0;8-15 Dezembro;25.0
35;Grupo 1;8-15 Dezembro;36.0
36;Grupo 0;16-24 Dezembro;0.0
37;Grupo 1;16-24 Dezembro;0.0
38;Grupo 0;25-31 Dezembro;0.0
39;Grupo 1;25-31 Dezembro;0.0
